circuit,inputs,outputs,gates,nets,candidate_nodes,candidate_coverage,unresolved_wire_count,observed_output_count,batched_fault_seconds,seed_eval_mode,engine,chosen_family,protocol,shard_count,candidate_total,count_mode
hyp,256,128,214335,214591,214207,214207,0,128,45680.12584729976,candidate_sharded,numba,index_mid,epfl_gate_level_random_vector_stuck_at_candidate_sharded,53,214207,
adder,256,129,1020,1276,892,892,0,129,0.31196389999240637,separate,numba,mass_balance,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
arbiter,256,129,11839,12095,11711,11711,0,129,0.05419830000028014,separate,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
bar,135,128,3336,3471,3208,3208,0,128,0.025560199981555343,separate,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
cavlc,10,11,693,703,682,682,0,11,0.002500699949450791,separate,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
ctrl,7,26,175,182,164,164,0,26,0.0013595999917015433,separate,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
dec,8,256,304,312,48,48,0,256,0.0012092000106349587,separate,numba,index_mid,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
div,128,128,57247,57375,57119,57119,0,128,27.935966100078076,separate,numba,inv_depth,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
i2c,147,142,1357,1504,1357,1357,0,142,0.01875559997279197,separate,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
int2float,11,7,260,271,253,253,0,7,0.0019371999660506845,separate,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
log2,32,32,32060,32092,32028,32028,0,32,84.30906089989003,separate,numba,sink_reach_near_pr,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
max,512,130,2865,3377,2735,2735,0,130,0.06661009998060763,separate,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
mem_ctrl,1204,1231,47110,48314,47110,47110,0,1231,0.33225019997917116,separate,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
multiplier,128,128,27062,27190,26934,26934,0,128,2.7078919999767095,separate,numba,sink_reach_near_pr,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
priority,128,8,978,1106,971,971,0,8,0.022854400100186467,separate,numba,wl3_common_dist,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
router,60,30,284,344,254,254,0,30,0.007797300000675023,separate,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
sqrt,128,64,24618,24746,24554,24554,0,64,65.93446139991283,separate,numba,role_depth_resonance_idx_inv_dist,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
square,64,128,18486,18550,18358,18358,0,128,0.8630332000320777,separate,numba,mass_balance,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
voter,1001,1,13758,14759,13758,13758,0,1,3.843612700002268,separate,numba,index_mid,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
sin,24,25,5416,5440,5391,5391,0,25,1.5285410000942647,separate,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at,,,opposite_flip
