fold,heldout_circuit,train_circuits,train_samples,heldout_nodes,method,train_runtime_seconds,inference_runtime_seconds
0,adder,19,15372,892,fusa_supervised_fair_mlp_loco,4.524940900000274,0.0007494999999835272
1,arbiter,19,15264,11711,fusa_supervised_fair_mlp_loco,5.8606463999999505,0.004199900000003254
2,bar,19,15264,3208,fusa_supervised_fair_mlp_loco,4.952451099999962,0.0016333000003214693
3,cavlc,19,15582,682,fusa_supervised_fair_mlp_loco,4.807888199999979,0.0007316000001083012
4,ctrl,19,16100,164,fusa_supervised_fair_mlp_loco,4.22902780000004,0.0004025999996883911
5,dec,19,16216,48,fusa_supervised_fair_mlp_loco,4.23434750000024,0.0003849999998237763
6,div,19,15264,57119,fusa_supervised_fair_mlp_loco,3.503390099999706,0.019460200000139594
7,hyp,19,15264,214207,fusa_supervised_fair_mlp_loco,5.691439600000194,0.07437389999995503
8,i2c,19,15264,1357,fusa_supervised_fair_mlp_loco,5.161554799999976,0.001037100000303326
9,int2float,19,16011,253,fusa_supervised_fair_mlp_loco,3.426365199999964,0.0004235000001244771
10,log2,19,15264,32028,fusa_supervised_fair_mlp_loco,3.831386500000008,0.009942299999693205
11,max,19,15264,2735,fusa_supervised_fair_mlp_loco,3.9335800999997446,0.0013146999999662512
12,mem_ctrl,19,15264,47110,fusa_supervised_fair_mlp_loco,3.3561209999998027,0.014445599999817205
13,multiplier,19,15264,26934,fusa_supervised_fair_mlp_loco,4.3162882999999965,0.010202100000242353
14,priority,19,15293,971,fusa_supervised_fair_mlp_loco,3.7070103000000927,0.0008659000000079686
15,router,19,16010,254,fusa_supervised_fair_mlp_loco,2.977324299999964,0.0004424000003382389
16,sin,19,15264,5391,fusa_supervised_fair_mlp_loco,6.873961799999961,0.0023212999999486783
17,sqrt,19,15264,24554,fusa_supervised_fair_mlp_loco,3.6206535999999687,0.00730859999976019
18,square,19,15264,18358,fusa_supervised_fair_mlp_loco,3.701287599999887,0.006963700000142126
19,voter,19,15264,13758,fusa_supervised_fair_mlp_loco,5.240244900000107,0.004447799999979907
