suite,circuit,budget,static_value,method_value,oracle_value,row_ideal_ratio_raw,row_closure_raw,loss,chosen_family,family_reason
iscas85,c1355,0.05,3584.0,3584.0,3584.0,1.0,1.0,False,pdom_dist,relative-pdom-static-aligned
iscas85,c1355,0.1,7040.0,7040.0,7040.0,1.0,1.0,False,pdom_dist,relative-pdom-static-aligned
iscas85,c1355,0.2,12561.0,12660.0,14080.0,0.8991477272727273,0.065174456879526,False,pdom_dist,relative-pdom-static-aligned
iscas85,c1908,0.05,4639.0,4639.0,5632.0,0.8236860795454546,0.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c1908,0.1,9108.0,9108.0,11211.0,0.8124163767728124,0.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c1908,0.2,15218.0,15218.0,19661.0,0.7740196327755455,0.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c2670,0.05,7680.0,7680.0,7680.0,1.0,1.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c2670,0.1,14093.0,14093.0,15360.0,0.9175130208333333,0.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c2670,0.2,23518.0,23518.0,27376.0,0.859073641145529,0.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c3540,0.05,7662.0,7662.0,10752.0,0.7126116071428571,0.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c3540,0.1,12691.0,12691.0,19773.0,0.6418348252667779,0.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c3540,0.2,21210.0,21210.0,31669.0,0.6697401244118855,0.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c432,0.05,1024.0,1024.0,1024.0,1.0,1.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c432,0.1,1955.0,1955.0,2011.0,0.9721531576330183,0.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c432,0.2,2631.0,2631.0,3214.0,0.8186060983198507,0.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c499,0.05,1408.0,1408.0,1408.0,1.0,1.0,False,pdom_dist,relative-pdom-static-aligned
iscas85,c499,0.1,2688.0,2688.0,2688.0,1.0,1.0,False,pdom_dist,relative-pdom-static-aligned
iscas85,c499,0.2,5248.0,5248.0,5248.0,1.0,1.0,False,pdom_dist,relative-pdom-static-aligned
iscas85,c5315,0.05,14848.0,14848.0,14848.0,1.0,1.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c5315,0.1,23970.0,23970.0,29568.0,0.8106737012987013,0.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c5315,0.2,40318.0,40318.0,53557.0,0.7528054222603955,0.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c6288,0.05,13322.0,15306.0,15488.0,0.9882489669421488,0.9159741458910434,False,mass_balance,relative-distance-regular-array
iscas85,c6288,0.1,27118.0,30783.0,30976.0,0.9937693698347108,0.949974079834111,False,mass_balance,relative-distance-regular-array
iscas85,c6288,0.2,55524.0,61759.0,61952.0,0.9968846849173554,0.9699751088985687,False,mass_balance,relative-distance-regular-array
iscas85,c7552,0.05,19437.0,19437.0,22528.0,0.86279296875,0.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c7552,0.1,33363.0,33363.0,45056.0,0.740478515625,0.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c7552,0.2,60431.0,60431.0,83604.0,0.7228242667814937,0.0,False,dist_avg_inv,relative-distance-dominance
iscas85,c880,0.05,2560.0,2560.0,2560.0,1.0,1.0,False,pdom_dist,relative-pdom-static-aligned
iscas85,c880,0.1,4992.0,4992.0,4992.0,1.0,1.0,False,pdom_dist,relative-pdom-static-aligned
iscas85,c880,0.2,9468.0,9468.0,9856.0,0.9606331168831169,0.0,False,pdom_dist,relative-pdom-static-aligned
