circuit,chosen_family,seed_ratio_mean,seed_ratio_std,seed_ratio_min,seed_ratio_max,loss_rows_total,random_gate_fail_total,seconds,seed_seconds_mean,batched_fault_seconds,seed_eval_mode,engine,count_mode,inputs,outputs,gates,nets,candidate_nodes,candidate_coverage,unresolved_wire_count,observed_output_count
adder,mass_balance,1.0,0.0,1.0,1.0,0,0,0.616933400000562,0.5604873999982374,0.5275154000119073,separate,numba,opposite_flip,256,129,1020,1276,892,892,0,129
arbiter,pdom_dist,0.9228890627664992,0.0,0.9228890627664992,0.9228890627664992,0,0,0.8171169999986887,0.08470590000797529,0.010690399998566136,separate,numba,opposite_flip,256,129,11839,12095,11711,11711,0,129
bar,pdom_dist,0.9968067547237255,0.0,0.9968067547237255,0.9968067547237255,0,0,0.2563434000039706,0.06206600001314655,0.004601199994795024,separate,numba,opposite_flip,135,128,3336,3471,3208,3208,0,128
cavlc,pdom_dist,0.8886109046714397,0.0,0.8886109046714397,0.8886109046714397,0,0,0.07960260000254493,0.03502560000924859,0.0008014999912120402,separate,numba,opposite_flip,10,11,693,703,682,682,0,11
ctrl,pdom_dist,0.9490625654176261,0.0,0.9490625654176261,0.9490625654176261,0,0,0.03941480000503361,0.02632429999357555,0.00036449999606702477,separate,numba,opposite_flip,7,26,175,182,164,164,0,26
dec,index_mid,1.0,0.0,1.0,1.0,0,0,0.03291270000045188,0.020447500006412156,0.00034950001281686127,separate,numba,opposite_flip,8,256,304,312,48,48,0,256
div,inv_depth,0.7982461707138129,0.0,0.7982461707138129,0.7982461707138129,0,0,9.139986599999247,5.347738099997514,5.091081299993675,separate,numba,opposite_flip,128,128,57247,57375,57119,57119,0,128
hyp,index_mid,0.818497485423706,0.0,0.818497485423706,0.818497485423706,0,0,5538.4424612,5522.432205399993,5519.519719499993,separate,numba,opposite_flip,256,128,214335,214591,214207,214207,0,128
i2c,pdom_dist,0.9905401502021952,0.0,0.9905401502021952,0.9905401502021952,0,0,0.4898466000013286,0.04849830000603106,0.003085999996983446,separate,numba,opposite_flip,147,142,1357,1504,1357,1357,0,142
int2float,pdom_dist,0.9269359022644635,0.0,0.9269359022644635,0.9269359022644635,0,0,0.053570600008242764,0.028025999999954365,0.0004888999974355102,separate,numba,opposite_flip,11,7,260,271,253,253,0,7
log2,sink_reach_near_pr,0.6497836387131806,0.0,0.6497836387131806,0.6497836387131806,0,0,24.903674700006377,22.855151199997636,22.649091800005408,separate,numba,opposite_flip,32,32,32060,32092,32028,32028,0,32
max,pdom_dist,0.5031689873512045,0.0,0.5031689873512045,0.5031689873512045,0,0,0.40172769999480806,0.058546499989461154,0.010339100001147017,separate,numba,opposite_flip,512,130,2865,3377,2735,2735,0,130
mem_ctrl,pdom_dist,0.912465454888177,0.0,0.912465454888177,0.912465454888177,0,0,4.782705999998143,0.3232521000027191,0.07418560000951402,separate,numba,opposite_flip,1204,1231,47110,48314,47110,47110,0,1231
multiplier,pdom_dist,0.585196597214159,0.0,0.585196597214159,0.585196597214159,0,0,2.6606867000082275,0.8046243999851868,0.6171300999994855,separate,numba,opposite_flip,128,128,27062,27190,26934,26934,0,128
priority,wl3_common_dist,0.7203992325029718,0.0,0.7203992325029718,0.7203992325029718,0,0,0.13883300000452437,0.04070500000671018,0.004266999996616505,separate,numba,opposite_flip,128,8,978,1106,971,971,0,8
router,pdom_dist,0.7462833736835324,0.0,0.7462833736835324,0.7462833736835324,0,0,0.05011270000250079,0.02746379999734927,0.0012878999987151474,separate,numba,opposite_flip,60,30,284,344,254,254,0,30
sin,mass_balance,0.7497652180722567,0.0,0.7497652180722567,0.7497652180722567,0,0,0.7438041999994311,0.4482579000032274,0.37398030000622384,separate,numba,opposite_flip,24,25,5416,5440,5391,5391,0,25
sqrt,role_depth_resonance_idx_inv_dist,0.6527528851432425,0.0,0.6527528851432425,0.6527528851432425,0,0,13.856980299999123,12.280013899988262,12.135281199996825,separate,numba,opposite_flip,128,64,24618,24746,24554,24554,0,64
square,mass_balance,0.8370738128834877,0.0,0.8370738128834877,0.8370738128834877,0,0,1.6500283000059426,0.4078746999875875,0.2542039999971166,separate,numba,opposite_flip,64,128,18486,18550,18358,18358,0,128
voter,index_mid,0.633912723002915,0.0,0.633912723002915,0.633912723002915,0,0,2.1258361999935005,1.1908046000025934,1.0763452999963192,separate,numba,opposite_flip,1001,1,13758,14759,13758,13758,0,1
